2tau^2	ln(I/I0)
0.0025000000000000005	-0.122469485
0.0036	-0.18344581
0.004900000000000001	-0.23486015
0.0064	-0.31717664
0.0081	-0.40656245
0.010000000000000002	-0.49164593
0.0121	-0.5533697
0.0144	-0.6275853
0.016900000000000002	-0.66174006
0.019600000000000003	-0.7228431
0.0225	-0.7624998
0.0256	-0.8231428
0.028900000000000006	-0.8741323
0.0324	-0.9428252
0.0361	-0.98238593
0.04000000000000001	-1.054325
0.0484	-1.1538808
0.0576	-1.2500594
0.06760000000000001	-1.3355588
0.07840000000000001	-1.4001387
0.09	-1.4588137
0.1024	-1.5215936
0.11560000000000002	-1.5758698
0.1296	-1.6325246
0.1444	-1.6876906
0.16000000000000003	-1.7545233
0.25	-2.0526578
0.36	-2.3626387
0.6400000000000001	-2.996585
1.0	-3.5901294
4.0	-3.1958442
